,Country,Year,Scenario,tech,Aluminium,Bentonite,Carbon Fiber,Cast Iron,Cement,Ceramics,Concrete,Copper,Epoxy,EVA ,Fibre Glass,Glass,Lubricant,Non-Ferrous Metal,Paint,Plastic,PVC,Resin,Sand,Silicon,Steel,Stainless Steel
0,Uganda,2010,Baseline,Wind (Onshore),1519846.149947495,0.0,3827758.1293947306,11594513.381778888,0.0,0.0,9603786.555592941,1998395.4682504593,4956139.215571067,0.0,5050319.288035935,0.0,33537944.86850408,0.0,139304.57128694636,569063.9317438479,0.0,1962716.3051693386,0.0,0.0,67954068.58979653,0.0
1,Uganda,2010,Baseline,Solar CSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Uganda,2010,Baseline,Solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Uganda,2010,Baseline,Hydro,0.0,0.0,0.0,136422257.6739327,136347071.88149822,0.0,157535882.72118315,68378628.68249908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927798508.793667,0.0,10733947.590168806,0.0,437886797.0961492,0.0
4,Uganda,2010,Baseline,Geothermal,133420711.93556239,414249.03952862375,0.0,540469.235708754,9797301.175701095,0.0,2023566.9783882617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86545346.97977288,0.0
5,Uganda,2010,Baseline,Gas CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Uganda,2010,Baseline,Oil,902293.4391980837,0.0,0.0,236868.03763843185,0.0,0.0,2450158.606540183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23124992.76068811,0.0
7,Uganda,2010,Baseline,Gas,1404446.2009044145,0.0,0.0,67806956.56350255,0.0,0.0,5043975.073167935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135078131.0249007,0.0
8,Uganda,2010,Baseline,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Uganda,2010,Baseline,Wind (Offshore),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Uganda,2010,Baseline,Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Uganda,2010,Baseline,Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Uganda,2010,Baseline,BECCS,,,,,,,0.0,,,,,,,,,,,,,,0.0,
13,Uganda,2010,Baseline,Hydrogen,,,,,,,,,,,,,,,,,,,,,,
0,Uganda,2040,Scenario 1,Wind (Onshore),11977206.251927843,0.0,21675663.375282314,131832305.14571038,0.0,0.0,118839112.66744086,22341130.296548657,47413952.62606649,0.0,61285425.18800662,0.0,234597264.28508106,0.0,825546.0585354362,5099753.47153181,0.0,11742481.029551256,0.0,0.0,858813598.6180265,0.0
1,Uganda,2040,Scenario 1,Solar CSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Uganda,2040,Scenario 1,Solar PV,35635976998.51493,0.0,0.0,0.0,0.0,0.0,0.0,216183443.4266867,0.0,0.0,0.0,29403820.340429477,0.0,0.0,0.0,161916678.92509282,0.0,0.0,0.0,1831392609.4058628,91856731640.93297,0.0
3,Uganda,2040,Scenario 1,Hydro,0.0,0.0,0.0,5616474169.97856,5725719537.634327,0.0,6617285578.475394,2898989144.267686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38879153546.62063,0.0,450878843.3568964,0.0,15832688785.684114,0.0
